DATA DE ENVIO;CNPJ;NOME;NF;TRANSPORTADORA
11/12/2024;33072542000129;THE BEST ACAI B BRASIL LTDA;53873;RODONAVES
19/12/2024;56395226000193;THE BEST ACAI PARAISO LTDA;54159;RODONAVES
19/12/2024;56107678000122;THE BEST ACAI ARAGUAINA LTDA.;54160;RODONAVES
19/12/2024;56149331000142;VILELA RUDNIK & SILVEIRA LTDA;54161;RODONAVES
19/12/2024;55907560000116;TBA ACAI TAGUATINGA LTDA;54162;RODONAVES
19/12/2024;56969715000101;J. H. SILVEIRA LTDA;54163;RODONAVES
19/12/2024;57162030000111;A3 COMERCIAL DE ALIMENTOS LTDA;54163;RODONAVES
19/12/2024;55161342000185;O MELHOR ACAI VILA VELHA LTDA;54166;RODONAVES
19/12/2024;57898073000160;O MELHOR ACAI VILA VELHA III LTDA;54169;RODONAVES
19/12/2024;55161342000266;O MELHOR ACAI VILA VELHA LTDA;54170;RODONAVES
19/12/2024;53962443000120;TBA SORVETES VITORIA LTDA;54171;RODONAVES
19/12/2024;54296514000165;TBA 02 SORVETES VITORIA LTDA;54172;RODONAVES
19/12/2024;54712043000129;THE BEST ACAI VILA VELHA LTDA;54173;RODONAVES
19/12/2024;55018364000190;THE BEST ACAI GUARAPARI LTDA;54174;RODONAVES
19/12/2024;57010825000104;THE BEST ACAI PRAINHA LTDA;54175;RODONAVES
19/12/2024;57656638000100;TBA 03 SORVETES VITORIA LTDA;54176;RODONAVES
19/12/2024;53743752000109;JWF ACAI LTDA;54177;RODONAVES
19/12/2024;53285328000168;RMX ALIMENTOS LTDA;54179;RODONAVES
19/12/2024;57399592000183;WL SORVETES E ACAI LTDA;54180;RODONAVES
19/12/2024;54571003000104;THE BEST ACAI TRINDADE LTDA;54181;RODONAVES
19/12/2024;52647980000112;THE BEST ACAI ANAPOLIS LTDA;54182;RODONAVES
19/12/2024;47348993000150;THE BEST ACAI JATAI LTDA;54189;RODONAVES
19/12/2024;57076963000196;FRANCHI & FERREIRA ACAITERIA E SORVETERIA LTDA;54190;RODONAVES
19/12/2024;52644644000116;THE BEST ACAI MINEIROS LTDA;54191;RODONAVES
19/12/2024;50396411000116;THE BEST ACAI RIO VERDE LTDA;54192;RODONAVES
19/12/2024;51206723000182;ANA PAULA P C BENTO SORVETES LTDA;54193;RODONAVES
19/12/2024;51976534000199;REZENDE & GUANDELINI LTDA;54194;RODONAVES
19/12/2024;52152057000100;DAVID E ZANATTA COMERCIO DE ALIMENTOS LTDA;54195;RODONAVES
19/12/2024;52825201000121;THE BEST ACAI LTDA;54196;RODONAVES
19/12/2024;53214240000155;GARAGEM 29 LTDA;54197;RODONAVES
19/12/2024;53418656000195;ACAI PAVAO LTDA;54198;RODONAVES
20/12/2024;54537280000109;THE BEST ACAI MORADA DO SOL LTDA;54203;RODONAVES
20/12/2024;56091250000139;ALMEIDA E ZANATTA COMERCIO DE ALIMENTOS LTDA;54204;RODONAVES
20/12/2024;57952313000167;TBA CORCHAK CATALAO LTDA;54205;RODONAVES
20/12/2024;57680529000110;A. CLARA SILVA SORVETES LTDA;54206;RODONAVES
20/12/2024;39277142000136;N P VP DA SILVS SORVETES LTDA;54207;RODONAVES
20/12/2024;40903303000139;DUTHI COMERCIO DE SORVETES LTDA;54208;RODONAVES
20/12/2024;43698054000347;AMABEST MS LTDA;54209;RODONAVES
20/12/2024;43698054000509;AMABEST MS LTDA;54210;RODONAVES
20/12/2024;42716881000191;GG COMERCIO DE SORVETES E ACAI LTDA;54211;RODONAVES
20/12/2024;43698054000185;AMABEST MS LTDA;54212;RODONAVES
20/12/2024;44573173000174;THE BEST ACAI MARACAJU LTDA.;54213;RODONAVES
20/12/2024;50294142000187;THE BEST ACAI JARDIM LTDA;54214;RODONAVES
20/12/2024;50586050000170;COMERCIO DE SORVETES E ACAI CANTU LTDA;54215;RODONAVES
20/12/2024;50420636000160;THE BEST ACAI CHAPADAO DO SUL LTDA;54216;RODONAVES
20/12/2024;53570023000106;J. A. COMERCIO DE SORVETES LTDA;54217;RODONAVES
20/12/2024;54251086000154;THE BEST ACAI MIRANDA LTDA;54218;RODONAVES
20/12/2024;43698054000428;AMABEST MS LTDA;54225;RODONAVES
20/12/2024;43698054000690;AMABEST MS LTDA;54226;RODONAVES
20/12/2024;40173656000120;ACAI TRES LAGOAS LTDA;54227;RODONAVES
20/12/2024;43698054000266;AMABEST MS LTDA;54228;RODONAVES
20/12/2024;45244798000155;THE BEST ACAI MUNDO NOVO LTDA;54229;RODONAVES
20/12/2024;47811357000113;PEIXER COMERCIO DE SORVETE LTDA;54230;RODONAVES
20/12/2024;48661225000115;SCHIAVON E SOUZA LTDA;54231;RODONAVES
20/12/2024;39337533000107;THE BEST ACAI PARANAIBA LTDA;54232;RODONAVES
20/12/2024;50053977000145;FS SORVERTES E ACAI LTDA;54233;RODONAVES
20/12/2024;52351629000180;THE BEST ACAI COSTA RICA LTDA;54234;RODONAVES
20/12/2024;52470114000107;THE BEST ACAI BELA VISTA LTDA;54235;RODONAVES
20/12/2024;53532680000150;JOSELI DOS SANTOS ROSA;54236;RODONAVES
20/12/2024;53835629000118;JFC SORVETES LTDA;54237;RODONAVES
20/12/2024;56148259000139;MARTINS COMERCIO DE ALIMENTOS LTDA;54238;RODONAVES
20/12/2024;54880316000144;FERREIRA ACAITERIA LTDA;54240;RODONAVES
20/12/2024;57414967000137;JL COMERCIO DE SORVETES LTDA;54242;RODONAVES
20/12/2024;49597327000181;THE BEST ACAI RIO BRILHANTE LTDA;54244;RODONAVES
20/12/2024;46180458000170;THE BEST ACAI SAO GABRIEL DO OESTE LTDA;54245;RODONAVES
20/12/2024;54545844000147;THE BEST ACAI DOURADOS II LTDA;54251;RODONAVES
20/12/2024;49382959000128;THE BEST ACAI BONITO LTDA;54252;RODONAVES
20/12/2024;40157085000130;TNT COMERCIO DE ALIMENTOS LTDA;54253;RODONAVES
20/12/2024;47041096000108;THE BEST ACAI DOURADOS LTDA;54254;RODONAVES
20/12/2024;57786767000105;SORVETES MONTEIRO LTDA;54255;RODONAVES
23/12/2024;51230570000109;AVJ ACAI E SORVETES BETIM LTDA;54289;RODONAVES
23/12/2024;51804468000170;THE BEST ACAI UBERLANDIA LTDA;54290;RODONAVES
23/12/2024;52324457000155;THE BEST ACAI SHOPPING PARK LTDA;54291;RODONAVES
23/12/2024;52432163000147;PORTOKANOVA SORVETES LTDA;54292;RODONAVES
23/12/2024;43449351000197;TR2A ACAI E CIA LTDA;54293;RODONAVES
23/12/2024;48407188000113;AMABEST MG LTDA;54.294;RODONAVES
23/12/2024;52547883000239;THE BROUS ALIMENTOS LTDA;54295;RODONAVES
23/12/2024;57541836000110;THE BEST ACAI FORMIGA LTDA;54296;RODONAVES
23/12/2024;47455512000106;GTR SANTA MONICA LTDA;54297;RODONAVES
23/12/2024;48770985000160;THE BEST ACAI BH LTDA;54298;RODONAVES
23/12/2024;49081487000173;GTR SÃO JORGE LTDA;54299;RODONAVES
23/12/2024;51336804000105;GTR ROOSEVELT LTDA;54300;RODONAVES
23/12/2024;53192983000171;MORAIS & FREIRE LTDA;54301;RODONAVES
23/12/2024;54504799000182;GRECCHI COMERCIO DE ALIMENTOS LTDA;54302;RODONAVES
23/12/2024;54744459000129;THE BEST ACAI JARDIM PATRICIA LTDA;54303;RODONAVES
23/12/2024;55407294000162;DELTA COMERCIO DE ALIMENTOS LTDA;54304;RODONAVES
23/12/2024;50059939000108;PORTOKANOVA SORVETES GV CENTRO LTDA;54305;RODONAVES
23/12/2024;48607478000100;THE BEST ACAI BETIM LTDA;54306;RODONAVES
23/12/2024;48362304000125;THE BEST ACAI PLANALTO LTDA;54307;RODONAVES
23/12/2024;50518947000167;DRP THE BEST LTDA;54310;RODONAVES
